item,itemLabel,point_of_time
http://www.wikidata.org/entity/Q43390507,Janet Conochie,1670-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43390435,Margaret Dury,1669-07-25T00:00:00Z
http://www.wikidata.org/entity/Q16849009,Jean Weir,1670-04-16T00:00:00Z
http://www.wikidata.org/entity/Q43390500,Christian Watson,1663-10-26T00:00:00Z
http://www.wikidata.org/entity/Q43390291,Jonet Braidheid,1662-04-24T00:00:00Z
http://www.wikidata.org/entity/Q43390319,wife of Soirle McAllexander,1662-02-08T00:00:00Z
http://www.wikidata.org/entity/Q43390341,John Gely,1662-02-01T00:00:00Z
http://www.wikidata.org/entity/Q43395586,Helen Kirkpatrick,1706-01-20T00:00:00Z
http://www.wikidata.org/entity/Q43390582,James Doddes,1649-11-16T00:00:00Z
http://www.wikidata.org/entity/Q43390211,Jonnet McKennan,1644-09-28T00:00:00Z
http://www.wikidata.org/entity/Q43390200,Thomas Rob,1643-04-29T00:00:00Z
http://www.wikidata.org/entity/Q43390443,Bessie Weir,1677-01-28T00:00:00Z
http://www.wikidata.org/entity/Q43390421,Jonet McClean,1662-07-13T00:00:00Z
http://www.wikidata.org/entity/Q43390298,Margaret Lister,1662-05-03T00:00:00Z
http://www.wikidata.org/entity/Q43390261,Margret Walker,1661-11-17T00:00:00Z
http://www.wikidata.org/entity/Q43390545,Katherine Cruikshank,1661-06-01T00:00:00Z
http://www.wikidata.org/entity/Q43390486,Catharin Walker,1650-04-21T00:00:00Z
http://www.wikidata.org/entity/Q43390615,Jeane Threipland,1649-11-16T00:00:00Z
http://www.wikidata.org/entity/Q43390247,Grissell Anderson,1649-06-18T00:00:00Z
http://www.wikidata.org/entity/Q43390786,Issobell Kelloch,1649-06-13T00:00:00Z
http://www.wikidata.org/entity/Q43390798,Issobell Alexander,1649-06-10T00:00:00Z
http://www.wikidata.org/entity/Q43390391,Janet Fairlie,1649-05-14T00:00:00Z
http://www.wikidata.org/entity/Q43390861,Marjorie (Marion) Durie,1649-04-23T00:00:00Z
http://www.wikidata.org/entity/Q43390219,Africk Elam,1644-09-28T00:00:00Z
http://www.wikidata.org/entity/Q43390208,Margaret Young,1644-08-17T00:00:00Z
http://www.wikidata.org/entity/Q43390172,Janet Love,1632-04-23T00:00:00Z
http://www.wikidata.org/entity/Q43390153,Isobel Moffat,1630-06-11T00:00:00Z
http://www.wikidata.org/entity/Q43390114,Janet Robsoun,1630-02-14T00:00:00Z
http://www.wikidata.org/entity/Q43390101,Alisoun Pringill,1629-12-20T00:00:00Z
http://www.wikidata.org/entity/Q43390076,Janet Allane,1629-11-16T00:00:00Z
http://www.wikidata.org/entity/Q43390030,Jonet Neill,1629-03-29T00:00:00Z
http://www.wikidata.org/entity/Q43389993,Janet Boyd,1628-11-09T00:00:00Z
http://www.wikidata.org/entity/Q6153399,Janet Horne,1727-06-01T00:00:00Z
http://www.wikidata.org/entity/Q43389929,John Damiet,1597-11-22T00:00:00Z
http://www.wikidata.org/entity/Q43390820,Margaret Williamsone,1597-08-21T00:00:00Z
http://www.wikidata.org/entity/Q43390679,Issobell Richie,1597-05-04T00:00:00Z
http://www.wikidata.org/entity/Q43390661,Jonat Davidsone,1597-04-01T00:00:00Z
http://www.wikidata.org/entity/Q43390622,James Findlaw,1586-05-19T00:00:00Z
http://www.wikidata.org/entity/Q43390837,Thomas Jamieson,1597-08-27T00:00:00Z
http://www.wikidata.org/entity/Q43390042,Margaret Wilson,1629-04-03T00:00:00Z
http://www.wikidata.org/entity/Q43390816,Margaret Bezok,1699-10-16T00:00:00Z
http://www.wikidata.org/entity/Q43392040,Katherine Patersoun,1631-11-13T00:00:00Z
http://www.wikidata.org/entity/Q43391633,Elizabeth Ross,1626-06-16T00:00:00Z
http://www.wikidata.org/entity/Q43392209,Samuelston (Home),1630-06-05T00:00:00Z
http://www.wikidata.org/entity/Q43391359,Margaret Dalgleish,1678-09-23T00:00:00Z
http://www.wikidata.org/entity/Q43391902,John Cristie,1629-03-24T00:00:00Z
http://www.wikidata.org/entity/Q43391651,Christiane Craig,1627-05-16T00:00:00Z
http://www.wikidata.org/entity/Q43391644,Jonnet Dovertie,1627-02-02T00:00:00Z
http://www.wikidata.org/entity/Q43391575,Marioun Rutherford,1621-06-10T00:00:00Z
http://www.wikidata.org/entity/Q43391551,Robert Allane,1613-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43391947,Walter Anderson,1679-12-07T00:00:00Z
http://www.wikidata.org/entity/Q43391912,Poile Watson,1602-08-09T00:00:00Z
http://www.wikidata.org/entity/Q43391413,John Glass,1698-03-01T00:00:00Z
http://www.wikidata.org/entity/Q43391736,Marion McNab,1590-07-31T00:00:00Z
http://www.wikidata.org/entity/Q43391867,Margaret Ewing,1697-05-29T00:00:00Z
http://www.wikidata.org/entity/Q43392109,wife of Johnne Durwart,1568-04-11T00:00:00Z
http://www.wikidata.org/entity/Q43391894,Jean Greenlaw,1699-05-02T00:00:00Z
http://www.wikidata.org/entity/Q43391716,Janet Wharrie,1697-10-01T00:00:00Z
http://www.wikidata.org/entity/Q43391403,Margaret Logan,1679-09-18T00:00:00Z
http://www.wikidata.org/entity/Q43392258,Katharine Liddell,1678-09-23T00:00:00Z
http://www.wikidata.org/entity/Q43391922,Agnes Dalgliesh,1678-07-30T00:00:00Z
http://www.wikidata.org/entity/Q43391848,Elspeth Huiton,1675-07-22T00:00:00Z
http://www.wikidata.org/entity/Q43392002,Marion McCall,1671-05-18T00:00:00Z
http://www.wikidata.org/entity/Q43391793,NcLevine,1662-03-10T00:00:00Z
http://www.wikidata.org/entity/Q43392130,Elizabeth Anderson,1697-03-28T00:00:00Z
http://www.wikidata.org/entity/Q43391465,Jonet Dow,1655-06-11T00:00:00Z
http://www.wikidata.org/entity/Q43392133,Margaret Andersone,1649-11-30T00:00:00Z
http://www.wikidata.org/entity/Q43391767,Wife of John Burbar,1649-10-17T00:00:00Z
http://www.wikidata.org/entity/Q43392224,Mary Cunningham,1644-08-16T00:00:00Z
http://www.wikidata.org/entity/Q43392090,Patrick Dyet,1636-06-26T00:00:00Z
http://www.wikidata.org/entity/Q43395751,Margrat NcWilliam,1662-05-17T00:00:00Z
http://www.wikidata.org/entity/Q43395754,Kathrine Largizean,1662-02-07T00:00:00Z
http://www.wikidata.org/entity/Q43395753,Jonet Morisone,1662-01-25T00:00:00Z
http://www.wikidata.org/entity/Q43395740,Margaret Litle,1661-08-21T00:00:00Z
http://www.wikidata.org/entity/Q43395841,Jonet Buchanan,1661-08-08T00:00:00Z
http://www.wikidata.org/entity/Q43395866,Grissel Scot,1661-07-19T00:00:00Z
http://www.wikidata.org/entity/Q43395872,Bessie Dickson,1661-07-17T00:00:00Z
http://www.wikidata.org/entity/Q43395639,Jonet Paterson,1650-07-11T00:00:00Z
http://www.wikidata.org/entity/Q43395731,Agnes Donaldson,1649-10-17T00:00:00Z
http://www.wikidata.org/entity/Q43395711,Christian Gibb,1649-08-01T00:00:00Z
http://www.wikidata.org/entity/Q43395746,Elspet Stith,1649-01-11T00:00:00Z
http://www.wikidata.org/entity/Q43395665,Christian Wishart,1644-03-16T00:00:00Z
http://www.wikidata.org/entity/Q43395821,Helene,1626-12-24T00:00:00Z
http://www.wikidata.org/entity/Q43395885,Janet Anderson,1630-06-27T00:00:00Z
http://www.wikidata.org/entity/Q43395889,Helene Scot,1629-08-11T00:00:00Z
http://www.wikidata.org/entity/Q43395825,Cristiane Wilsoune,1629-03-24T00:00:00Z
http://www.wikidata.org/entity/Q43395820,Elspet Herald,1626-12-24T00:00:00Z
http://www.wikidata.org/entity/Q43395813,Andro Tailyeor,1620-09-23T00:00:00Z
http://www.wikidata.org/entity/Q43395692,Andro McJohn,1603-10-08T00:00:00Z
http://www.wikidata.org/entity/Q43395699,Margrat Cleraucht,1597-05-05T00:00:00Z
http://www.wikidata.org/entity/Q43395698,Beak Taiss,1597-04-20T00:00:00Z
http://www.wikidata.org/entity/Q43395881,Marion Greiff,1595-06-21T00:00:00Z
http://www.wikidata.org/entity/Q43395876,Neving McGhee,1590-08-21T00:00:00Z
http://www.wikidata.org/entity/Q43395778,Christian Malcolmson,1577-11-04T00:00:00Z
http://www.wikidata.org/entity/Q43395779,John McAne McThomas Cattanach,1577-11-04T00:00:00Z
http://www.wikidata.org/entity/Q43395787,Jonet Moir,1577-11-04T00:00:00Z
http://www.wikidata.org/entity/Q43395793,Margaret Neyn Gavin,1577-11-04T00:00:00Z
http://www.wikidata.org/entity/Q43395830,Nesbitt,1591-06-03T00:00:00Z
http://www.wikidata.org/entity/Q43393004,Cristiane Tod,1608-06-06T00:00:00Z
http://www.wikidata.org/entity/Q43393060,Margaret Ker,1661-06-09T00:00:00Z
http://www.wikidata.org/entity/Q43393260,Bessie Proffit,1662-03-14T00:00:00Z
http://www.wikidata.org/entity/Q43393151,Jon Boig,1662-02-23T00:00:00Z
http://www.wikidata.org/entity/Q43393192,Elspeth Seatoun,1662-02-02T00:00:00Z
http://www.wikidata.org/entity/Q43393225,Christian Cuthbertson,1662-02-02T00:00:00Z
http://www.wikidata.org/entity/Q43393204,Helen Wentoun,1662-02-02T00:00:00Z
http://www.wikidata.org/entity/Q43393207,Issobell Page,1662-02-02T00:00:00Z
http://www.wikidata.org/entity/Q43393222,Helen Balfour,1662-02-02T00:00:00Z
http://www.wikidata.org/entity/Q43393137,Helen Guthery,1661-12-27T00:00:00Z
http://www.wikidata.org/entity/Q43393129,Kathrin Key,1661-11-29T00:00:00Z
http://www.wikidata.org/entity/Q43393119,Barbara Hood,1661-11-17T00:00:00Z
http://www.wikidata.org/entity/Q43393067,Jean Getgood,1661-09-16T00:00:00Z
http://www.wikidata.org/entity/Q43393105,Margret Hawie,1661-09-16T00:00:00Z
http://www.wikidata.org/entity/Q43393091,Elspeth Halliburtonn,1661-08-08T00:00:00Z
http://www.wikidata.org/entity/Q43393055,Jonet Baigbie,1661-06-08T00:00:00Z
http://www.wikidata.org/entity/Q43393012,Agnes Murray,1649-01-01T00:00:00Z
