item,witch,itemLabel,place_of_detentionLabel,place_of_detention_coordinate,genderLabel,occupationLabel,chargeLabel,classLabel,ethnicLabel,mdeathLabel,cdeathLabel,deathlocLabel,detainLabel
http://www.wikidata.org/entity/Q43393430,A/EGD/1519,Margaret NcLevin,Rothesay,Point(-5.055 55.836388888),female,,,,,,,,Rothesay
http://www.wikidata.org/entity/Q43390222,A/EGD/1293,Margaret Thomsone,Mid Calder,Point(-3.481 55.8918),female,,,,,,,,Mid Calder
http://www.wikidata.org/entity/Q43390453,A/EGD/173,Helene Clerk,Edinburgh,Point(-3.189166666 55.953333333),female,,,working poor,,,,,Edinburgh
http://www.wikidata.org/entity/Q43390468,A/EGD/1760,Margaret Lang,Glasgow,Point(-4.25 55.861111111),female,,,,,capital punishment,,Gallows Green,Glasgow
http://www.wikidata.org/entity/Q43390468,A/EGD/1760,Margaret Lang,Renfrew,Point(-4.366666666 55.866666666),female,,,,,capital punishment,,Gallows Green,Glasgow
http://www.wikidata.org/entity/Q43390468,A/EGD/1760,Margaret Lang,Glasgow,Point(-4.25 55.861111111),female,,,,,capital punishment,,Gallows Green,Renfrew
http://www.wikidata.org/entity/Q43390468,A/EGD/1760,Margaret Lang,Renfrew,Point(-4.366666666 55.866666666),female,,,,,capital punishment,,Gallows Green,Renfrew
http://www.wikidata.org/entity/Q43392244,A/EGD/1713,Issobell Spens,Aberdeen,Point(-2.1 57.15),female,,,middling,,,,,Aberdeen
http://www.wikidata.org/entity/Q43392733,A/EGD/1128,Bessie Duncan,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43392830,A/EGD/1191,Janet Patersoun,Cousland,Point(-2.995274 55.904962),female,,,,,,,,Cousland
http://www.wikidata.org/entity/Q43392904,A/EGD/1243,George Sempill,Glasgow,Point(-4.25 55.861111111),male,Christian minister,,middling,,,,,Glasgow
http://www.wikidata.org/entity/Q43392940,A/EGD/1279,Jean Rob,Perth,Point(-3.433333333 56.395833333),female,,,,,capital punishment,,,Perth
http://www.wikidata.org/entity/Q43392963,A/EGD/1297,Margaret Reid,Lanark,Point(-3.77702 55.6749),female,,,,,,,,Lanark
http://www.wikidata.org/entity/Q43392966,A/EGD/1303,Helen Lausone,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43393121,A/EGD/1392,Adam Robertson,Duns,Point(-2.3426 55.7784),male,maltman,,middling,,,,,Duns
http://www.wikidata.org/entity/Q43393121,A/EGD/1392,Adam Robertson,Eyemouth,Point(-2.090555555 55.869444444),male,maltman,,middling,,,,,Duns
http://www.wikidata.org/entity/Q43393121,A/EGD/1392,Adam Robertson,Duns,Point(-2.3426 55.7784),male,maltman,,middling,,,,,Eyemouth
http://www.wikidata.org/entity/Q43393121,A/EGD/1392,Adam Robertson,Eyemouth,Point(-2.090555555 55.869444444),male,maltman,,middling,,,,,Eyemouth
http://www.wikidata.org/entity/Q43393197,A/EGD/1421,Agnes Broune,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43393301,A/EGD/1463,Kathrin Bowar,Rhynd,Point(-3.36614 56.3648),female,,,,,,,,Rhynd
http://www.wikidata.org/entity/Q43393420,A/EGD/1513,Issobell NcNicol,Isle of Bute,Point(-5.05636 55.83569),female,,,,,,,,Isle of Bute
http://www.wikidata.org/entity/Q43393682,A/EGD/1767,Mary Millar,Kirkcudbright,Point(-4.051666666 54.835277777),female,,,,,,,,Kirkcudbright
http://www.wikidata.org/entity/Q43393729,A/EGD/1795,Marion Moffat,Lanark,Point(-3.77702 55.6749),female,,,,,,,,Lanark
http://www.wikidata.org/entity/Q43393812,A/EGD/1698,Helen Alexander,Forfar,Point(-2.89 56.643055555),female,,,,,,,,Forfar
http://www.wikidata.org/entity/Q43393863,A/EGD/1723,Suna Voe,Scalloway,Point(-1.275 60.137),female,,,,,,,,Scalloway
http://www.wikidata.org/entity/Q43393879,A/EGD/1736,Issobell Laing,Dumbarton,Point(-4.547222222 55.948611111),female,,,,,,,,Dumbarton
http://www.wikidata.org/entity/Q43393881,A/EGD/1737,Christian Donald,Dumbarton,Point(-4.547222222 55.948611111),female,,,,,,,,Dumbarton
http://www.wikidata.org/entity/Q43393886,A/EGD/1739,Mary Mitchell,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43393886,A/EGD/1739,Mary Mitchell,Stirling,Point(-3.9369 56.1166),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43393886,A/EGD/1739,Mary Mitchell,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43393886,A/EGD/1739,Mary Mitchell,Stirling,Point(-3.9369 56.1166),female,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43393889,A/EGD/1740,John Gray,Stirling,Point(-3.9369 56.1166),male,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43393895,A/EGD/1742,Thomas Mitchell,Edinburgh,Point(-3.189166666 55.953333333),male,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43393895,A/EGD/1742,Thomas Mitchell,Stirling,Point(-3.9369 56.1166),male,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43393895,A/EGD/1742,Thomas Mitchell,Edinburgh,Point(-3.189166666 55.953333333),male,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43393895,A/EGD/1742,Thomas Mitchell,Stirling,Point(-3.9369 56.1166),male,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43390101,A/EGD/1154,Alisoun Pringill,Duns,Point(-2.3426 55.7784),female,,,,,,,,Duns
http://www.wikidata.org/entity/Q43390172,A/EGD/1254,Janet Love,Renfrew,Point(-4.366666666 55.866666666),female,,,,,,,,Renfrew
http://www.wikidata.org/entity/Q43390172,A/EGD/1254,Janet Love,Inverkip,Point(-4.8735 55.912),female,,,,,,,,Renfrew
http://www.wikidata.org/entity/Q43390172,A/EGD/1254,Janet Love,Renfrew,Point(-4.366666666 55.866666666),female,,,,,,,,Inverkip
http://www.wikidata.org/entity/Q43390172,A/EGD/1254,Janet Love,Inverkip,Point(-4.8735 55.912),female,,,,,,,,Inverkip
http://www.wikidata.org/entity/Q43390208,A/EGD/1287,Margaret Young,North Queensferry,Point(-3.394166666 56.011111111),female,,,middling,,,,,North Queensferry
http://www.wikidata.org/entity/Q43390208,A/EGD/1287,Margaret Young,Dysart,Point(-3.12538 56.12557),female,,,middling,,,,,North Queensferry
