Wikidata Page,Name,Residence,Gender,Occupation,Long,Lat
http://www.wikidata.org/entity/Q43912463,John Ayton,Haddington,Male,Bailie,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43912544,John Balvard,Abernethy,Male,Bailie,-3.310927777 ,56.326491666
http://www.wikidata.org/entity/Q43911145,John Brown,Dysart,Male,Bailie,-3.1254 ,56.1256
http://www.wikidata.org/entity/Q43913682,John Burgess,Dumfries,Male,Bailie,-3.616666666 ,55.066666666
http://www.wikidata.org/entity/Q43915468,John Calderwood,Musselburgh,Male,Bailie,-3.0472 ,55.9433
http://www.wikidata.org/entity/Q43915711,John Corsan,Ayr,Male,Bailie,-4.6278 ,55.4639
http://www.wikidata.org/entity/Q43914410,John Cruickshank,Galashiels,Male,Bailie,-2.818888888 ,55.620555555
http://www.wikidata.org/entity/Q43913719,John Davis,Crail,Male,Bailie,-2.6263 ,56.2608
http://www.wikidata.org/entity/Q43915911,John Dickson,Potterrow,Male,Bailie,-3.1784 ,55.9459
http://www.wikidata.org/entity/Q43915854,John Halliday,Culross,Male,Bailie,-3.6293 ,56.0554
http://www.wikidata.org/entity/Q43911877,John Hart,South Queensferry,Male,Bailie,-3.4 ,55.9875
http://www.wikidata.org/entity/Q43913069,John Inglis,Nairn,Male,Bailie,-3.866666666 ,57.583333333
http://www.wikidata.org/entity/Q43914714,John Kaird,Dingwall,Male,Bailie,-4.427777777 ,57.597222222
http://www.wikidata.org/entity/Q43913022,John Maitland,Lauder,Male,Bailie,-2.74855 ,55.7194
http://www.wikidata.org/entity/Q43915726,John Osburne,Ayr,Male,Bailie,-4.6278 ,55.4639
http://www.wikidata.org/entity/Q43912027,John Rutherford,Prestonpans,Male,Bailie,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43914852,John Simpson,Burntisland,Male,Bailie,-3.233333333 ,56.05
http://www.wikidata.org/entity/Q43914152,John Sleich,Haddington,Male,Bailie,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43910611,John Stalker,Dirleton,Male,Bailie,-2.785 ,56.048
http://www.wikidata.org/entity/Q43913065,John Tulloch,Nairn,Male,Bailie,-3.866666666 ,57.583333333
http://www.wikidata.org/entity/Q43914838,Johnne Hailis,Arbroath,Male,Bailie,-2.585705555 ,56.561386111
http://www.wikidata.org/entity/Q43911472,Lundine,Pittenweem,Male,Bailie,-2.728611111 ,56.213055555
http://www.wikidata.org/entity/Q43912642,Mungo Duddingston,Falkland,Male,Bailie,-3.2 ,56.25
http://www.wikidata.org/entity/Q43911610,Ninian Ker,Rothesay,Male,Bailie,-5.05 ,55.833333333
http://www.wikidata.org/entity/Q43910649,Patrick Craig,Lanark,Male,Bailie,-3.77702 ,55.6749
http://www.wikidata.org/entity/Q43911550,Patrick Hepburn,Haddington,Male,Bailie,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43912732,Patrick Scott,Montrose,Male,Bailie,-2.605833333 ,56.708055555
http://www.wikidata.org/entity/Q43910796,Patrick Young,Haddington,Male,Bailie,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43915519,Patrik Eleis,Leith,Male,Bailie,-3.17005 ,55.9801
http://www.wikidata.org/entity/Q43913068,Robert Bain,Nairn,Male,Bailie,-3.866666666 ,57.583333333
http://www.wikidata.org/entity/Q43914581,Robert Baxter,Clerkington,Male,Bailie,-2.791277 ,55.944189
http://www.wikidata.org/entity/Q43913489,Robert Buchanan,Stirling,Male,Bailie,-3.9369 ,56.1166
http://www.wikidata.org/entity/Q43914304,Robert Calderwood,Musselburgh,Male,Bailie,-3.0472 ,55.9433
http://www.wikidata.org/entity/Q43911537,Robert Douglas,Musselburgh,Male,Bailie,-3.0472 ,55.9433
http://www.wikidata.org/entity/Q43914350,Robert Hill,South Queensferry,Male,Bailie,-3.4 ,55.9875
http://www.wikidata.org/entity/Q43912245,Robert Johnston,Stirling,Male,Bailie,-3.9369 ,56.1166
http://www.wikidata.org/entity/Q43914150,Robert Learmonth,Haddington,Male,Bailie,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43914386,Robert Mitchelson,Dalkeith,Male,Bailie,-3.068332 ,55.893642
http://www.wikidata.org/entity/Q43912728,Robert Ronald,Montrose,Male,Bailie,-2.605833333 ,56.708055555
http://www.wikidata.org/entity/Q43913486,Robert Russell,Stirling,Male,Bailie,-3.9369 ,56.1166
http://www.wikidata.org/entity/Q43914657,Robert Rutherford,Jedburgh,Male,Bailie,-2.546 ,55.477
http://www.wikidata.org/entity/Q43911535,Robert Strachan,Musselburgh,Male,Bailie,-3.0472 ,55.9433
http://www.wikidata.org/entity/Q43916133,Roger Kirkpatrick,Dumfries,Male,Bailie,-3.616666666 ,55.066666666
http://www.wikidata.org/entity/Q43912388,Samuel Lauder,Eyemouth,Male,Bailie,-2.090555555 ,55.869444444
http://www.wikidata.org/entity/Q43911884,Samuel Wilson,South Queensferry,Male,Bailie,-3.4 ,55.9875
http://www.wikidata.org/entity/Q43915386,Thomas Corsbie,Dunbar,Male,Bailie,-2.522777777 ,55.998333333
http://www.wikidata.org/entity/Q43912482,Thomas Guthrie,Forfar,Male,Bailie,-2.89 ,56.643055555
http://www.wikidata.org/entity/Q43911512,Thomas Home,Prestonpans,Male,Bailie,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43914211,Thomas Knox,Bo'ness,Male,Bailie,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43914622,Thomas Leishman,Leith,Male,Bailie,-3.17005 ,55.9801
http://www.wikidata.org/entity/Q43913664,Thomas MacBrair,Dumfries,Male,Bailie,-3.616666666 ,55.066666666
http://www.wikidata.org/entity/Q43911882,Thomas Wilson,South Queensferry,Male,Bailie,-3.4 ,55.9875
http://www.wikidata.org/entity/Q43913453,Walter Smart,Musselburgh,Male,Bailie,-3.0472 ,55.9433
http://www.wikidata.org/entity/Q43914854,William,Burntisland,Male,Bailie,-3.233333333 ,56.05
http://www.wikidata.org/entity/Q43915857,William Aitken,Culross,Male,Bailie,-3.6293 ,56.0554
http://www.wikidata.org/entity/Q43916219,William Dunlop,Glasgow,Male,Bailie,-4.27 ,55.87
http://www.wikidata.org/entity/Q43912364,William Ferguson,Dirleton,Male,Bailie,-2.785 ,56.048
http://www.wikidata.org/entity/Q43911941,William Lowes,Peebles,Male,Bailie,-3.18 ,55.65
http://www.wikidata.org/entity/Q43914338,William Mabine,Galashiels,Male,Bailie,-2.818888888 ,55.620555555
