Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Place of Detainment
http://www.wikidata.org/entity/Q43395341,Marioun Hendersone,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395318,Marioun Chatto,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395331,Marjorie Aitkyne,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395336,Margaret Merschell,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395337,Bessie Logie,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395338,Margaret Bull,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395815,Margaret Donaldsone,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395312,Christiane Hammyltoun,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395335,Jonnet Robeson,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395345,Marjory Gibsoun,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395347,Beatrix Thomsone,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395832,Margaret Kent,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395313,Beatrice Mudie,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395340,Bessie Andersone,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43395346,Jonet Keirie,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43394788,Katherine Smith,Inverkeithing,-3.383333333,56.03333333,Female,Inverkeithing
http://www.wikidata.org/entity/Q43390172,Janet Love,Greenock,-4.766666666,55.95,Female,Inverkip
http://www.wikidata.org/entity/Q43395309,Issobell Scherar,Irvine,-4.661111111,55.61944444,Female,Irvine
http://www.wikidata.org/entity/Q43393982,Elizabeth Grahame,Kilwinning,-4.7,55.65,Female,Irvine
http://www.wikidata.org/entity/Q43393420,Issobell NcNicol,Isle of Bute,-5.05636,55.83569,Female,Isle of Bute
http://www.wikidata.org/entity/Q43395284,Marjorie Lyell,Jedburgh,-2.546,55.477,Female,Jedburgh
http://www.wikidata.org/entity/Q43395091,Mary Sommerveil,Grange,-1.8083,57.5064,Female,Jedburgh
http://www.wikidata.org/entity/Q43395285,Marioun Hendirsoun,Jedburgh,-2.546,55.477,Female,Jedburgh
http://www.wikidata.org/entity/Q43392452,Manie Ellote,Jedburgh,-2.546,55.477,Female,Jedburgh
http://www.wikidata.org/entity/Q43391575,Marioun Rutherford,Kirkcaldy,-3.167369444,56.11073056,Female,Kirkcaldy
http://www.wikidata.org/entity/Q43391281,Grissell Rae,Barncrosh,-4.01486,54.91081,Female,Kirkcudbright
http://www.wikidata.org/entity/Q43391285,Jonet Howat,Luss,-4.644722222,56.09694444,Female,Kirkcudbright
http://www.wikidata.org/entity/Q43393682,Mary Millar,Kirkcudbright,-4.051666666,54.83527778,Female,Kirkcudbright
http://www.wikidata.org/entity/Q43391278,Margaret McGuffock,Dunlop,-4.54,55.7,Female,Kirkcudbright
http://www.wikidata.org/entity/Q43395655,Janet Pekok,North Ronaldsay,-2.42583,59.37339,Female,Kirkwall
http://www.wikidata.org/entity/Q43395651,Margaret Thomesone,North Ronaldsay,-2.42583,59.37339,Female,Kirkwall
http://www.wikidata.org/entity/Q43395659,Barbara Bowndie,Orkney Islands,-3,59,Female,Kirkwall
http://www.wikidata.org/entity/Q43395652,Helen Tailzour,North Ronaldsay,-2.42583,59.37339,Female,Kirkwall
http://www.wikidata.org/entity/Q43395653,Barbara Yorston,North Ronaldsay,-2.42583,59.37339,Female,Kirkwall
http://www.wikidata.org/entity/Q43395607,Marion Moffat (second),Crawford,-3.658585,55.471864,Female,Lanark
http://www.wikidata.org/entity/Q43395605,Margaret Kilpatrick,Crawford,-3.658585,55.471864,Female,Lanark
http://www.wikidata.org/entity/Q43393727,Mali Laidlaw,Crawford,-3.658585,55.471864,Female,Lanark
http://www.wikidata.org/entity/Q43393963,Bessie Gibson,Cardrona,-3.112061,55.640134,Female,Lanark
http://www.wikidata.org/entity/Q43395602,Jonet McBirnie,Crawford,-3.658585,55.471864,Female,Lanark
http://www.wikidata.org/entity/Q43395606,Bessie Williamson,Crawford,-3.658585,55.471864,Female,Lanark
http://www.wikidata.org/entity/Q43393729,Marion Moffat,Crawford,-3.658585,55.471864,Female,Lanark
http://www.wikidata.org/entity/Q43392228,Kathren Shaw,Lanark,-3.77702,55.6749,Female,Lanark
http://www.wikidata.org/entity/Q43395603,Jonet Acheson,Crawford,-3.658585,55.471864,Female,Lanark
http://www.wikidata.org/entity/Q43392137,Margaret Reid,Kirkland,-4.01871,55.406229,Female,Lanark
http://www.wikidata.org/entity/Q43393724,Marion Hunter,Crawford,-3.658585,55.471864,Female,Lanark
http://www.wikidata.org/entity/Q43393726,Lillias Moffat,Crawford,-3.658585,55.471864,Female,Lanark
http://www.wikidata.org/entity/Q43393730,Helen Acheson,Crawford,-3.658585,55.471864,Female,Lanark
http://www.wikidata.org/entity/Q43392895,Margaret Whyte,Peterhead,-1.7832,57.5091,Female,Lasswade
http://www.wikidata.org/entity/Q43396153,Issobell Durie,Old Pentland,-3.177236,55.88251,Female,Lasswade
http://www.wikidata.org/entity/Q43394638,Geillis Gray,Crail,-2.6263,56.2608,Female,Lathockar House
http://www.wikidata.org/entity/Q43393472,Agnes Wauch,Lauder,-2.74855,55.7194,Female,Lauder
http://www.wikidata.org/entity/Q43393470,Masie Robison,Lauder,-2.74855,55.7194,Female,Lauder
http://www.wikidata.org/entity/Q43391739,Catherine Watson,Stow,-2.8621,55.6918,Female,Lauder
http://www.wikidata.org/entity/Q43392911,Helene Hamiltoun,Leith,-3.17005,55.9801,Female,Leith
http://www.wikidata.org/entity/Q43391586,Katherine Rannald,Kirkliston,-3.4,55.95,Female,Linlithgow
http://www.wikidata.org/entity/Q43395308,Margaret Kennedy,Linlithgow,-3.610555555,55.97527778,Female,Linlithgow
http://www.wikidata.org/entity/Q43395296,Jonet Johnstoun,Dalmeny,-3.37,55.983,Female,Linlithgow
http://www.wikidata.org/entity/Q43393905,Bessie Bell,Lasswade,-3.11667,55.8833,Female,Loanhead
http://www.wikidata.org/entity/Q43393907,Margaret Liddell,Lasswade,-3.11667,55.8833,Female,Loanhead
http://www.wikidata.org/entity/Q43393912,Margaret Laing,Lasswade,-3.11667,55.8833,Female,Loanhead
http://www.wikidata.org/entity/Q43390222,Margaret Thomsone,Calder Wood,-3.480138,55.883281,Female,Mid Calder
http://www.wikidata.org/entity/Q43395618,Catharin Lyell,Montrose,-2.605833333,56.70805556,Female,Montrose
