Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Manner of Death,Place of Death,Place of Detainment,Wikipedia Page
http://www.wikidata.org/entity/Q43390432,Janet Boyman,Ayr,-4.627777777,55.46388889,Female,Capital Punishment,Edinburgh,,https://en.wikipedia.org/wiki/Janet_Boyman
http://www.wikidata.org/entity/Q43390432,Janet Boyman,Cowgate,-3.18833,55.9486,Female,Capital Punishment,Edinburgh,,https://en.wikipedia.org/wiki/Janet_Boyman
http://www.wikidata.org/entity/Q6153399,Janet Horne,Dornoch,-4.03,57.88,Female,Capital Punishment,Dornoch,,https://en.wikipedia.org/wiki/Janet_Horne
http://www.wikidata.org/entity/Q43390468,Margaret Lang,Renfrew,-4.366666666,55.86666667,Female,Capital Punishment,Gallows Green,Renfrew,https://en.wikipedia.org/wiki/Paisley_witches
http://www.wikidata.org/entity/Q43393935,John Lindsay,Formakin,-4.545491,55.902521,Male,Capital Punishment,Gallows Green,Renfrew,https://en.wikipedia.org/wiki/Paisley_witches
http://www.wikidata.org/entity/Q43392771,Margaret Cuthbertson,Penicuik,-3.22,55.826,Female,Capital Punishment,Penicuik,,https://en.wikipedia.org/wiki/Paisley_witches
