Wikidata Page,Name,Residence,Longitude,Latitude,Gender
http://www.wikidata.org/entity/Q43390211,Jonnet McKennan,Balmurrie,-4.805504,54.959995,Female
http://www.wikidata.org/entity/Q43390291,Jonet Braidheid,Balmakeith,-3.852752,57.580476,Female
http://www.wikidata.org/entity/Q43390319,Wife of Soirle McAllexander,Isle of Bute,-5.05636,55.83569,Female
http://www.wikidata.org/entity/Q43390500,Christian Watson,North Berwick,-2.717,56.058,Female
http://www.wikidata.org/entity/Q43390507,Janet Conochie,Bo'ness,-3.608911111,56.01681111,Female
http://www.wikidata.org/entity/Q43392176,Janet Baker,Edinburgh,-3.198888888,55.95,Female
http://www.wikidata.org/entity/Q43392260,Elizabeth Crafford,Sammuelston,-2.825545,55.92742,Female
http://www.wikidata.org/entity/Q43392831,Margaret Heriot,"Carrington, Midlothian",-3.0903,55.8328,Female
http://www.wikidata.org/entity/Q43392833,Alison Neving,Dysart,-3.12538,56.12557,Female
http://www.wikidata.org/entity/Q43392847,Agnes Weir,Dumfries,-3.616666666,55.06666667,Female
http://www.wikidata.org/entity/Q43392854,Marion Ritchie,Newton-on-Ayr,-4.625473,55.473285,Female
http://www.wikidata.org/entity/Q43392958,Jonet Lockie,Carnwath,-3.625,55.7006,Female
http://www.wikidata.org/entity/Q43392961,Margaret Watsoun,Carnwath,-3.625,55.7006,Female
http://www.wikidata.org/entity/Q43392965,Elizabeth Sinclair,Sammuelston,-2.825545,55.92742,Female
http://www.wikidata.org/entity/Q43392973,Marjorie Adamsone,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43392993,Helen Tailzear,Eyemouth,-2.090555555,55.86944444,Female
http://www.wikidata.org/entity/Q43392995,Margaret Dobson,Berwickshire,-2.5,55.75,Female
http://www.wikidata.org/entity/Q43393004,Cristiane Tod,Longniddry,-2.88333,55.9667,Female
http://www.wikidata.org/entity/Q43393012,Agnes Murray,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43393028,Isobel Wilson,Carriden,-3.566848,56.009756,Female
http://www.wikidata.org/entity/Q43393055,Jonet Baigbie,Bolton,-2.79042,55.9205,Female
http://www.wikidata.org/entity/Q43393060,Margaret Ker,Bolton,-2.79042,55.9205,Female
http://www.wikidata.org/entity/Q43393067,Jean Getgood,Ormiston,-2.94306,55.9122,Female
http://www.wikidata.org/entity/Q43393091,Elspeth Halliburtonn,Newton-on-Ayr,-4.625473,55.473285,Female
http://www.wikidata.org/entity/Q43393105,Margret Hawie,Ormiston,-2.94306,55.9122,Female
