Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Place of Detainment
https://www.wikidata.org/wiki/Q43395093,George Guidlet,County of Roxburghshire,-2.478294,55.568879,Male,Jedburgh
https://www.wikidata.org/wiki/Q43392489,Margaret McKillope,Bonhill,-4.570452,55.982801,Female,Paisley
https://www.wikidata.org/wiki/Q43391871,Margaret Cunninghame,County of Renfrewshire,-4.389464,55.877277,Female,Renfrew
https://www.wikidata.org/wiki/Q43393860,Bessie,Presbytery of Scalloway,-1.16,60.8,Female,Scalloway
