Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Manner of Death
http://www.wikidata.org/entity/Q43390698,Barbara Scord,Shetland Islands,-1.2689,60.3038,Female,Capital Punishment
http://www.wikidata.org/entity/Q43392295,Marioun Grant,Auchedly,-2.171685,57.388774,Female,Capital Punishment
http://www.wikidata.org/entity/Q43394295,Catherine Logie,North Queensferry,-3.39444,56.0111,Female,Capital Punishment
http://www.wikidata.org/entity/Q43395812,Margaret McGuffok,Barnweill,-4.520385,55.538985,Female,Capital Punishment
http://www.wikidata.org/entity/Q43392503,Jonet Dynneis,Fetlar,-0.866666666,60.61666667,Female,Capital Punishment
http://www.wikidata.org/entity/Q43395513,Jenet Pennycuik,Penicuik,-3.22,55.826,Female,Capital Punishment
http://www.wikidata.org/entity/Q43391366,Marion Veitch,Humbie,-2.86735,55.8544,Female,Capital Punishment
http://www.wikidata.org/entity/Q43391629,Marable Couper,Birsay,-3.335278,59.136944,Female,Capital Punishment
http://www.wikidata.org/entity/Q43394943,Bessie Wilson,Gilmerton,-3.13083,55.905,Female,Capital Punishment
http://www.wikidata.org/entity/Q43394990,Agnes Bowie,Gilmerton,-3.13083,55.905,Female,Capital Punishment
http://www.wikidata.org/entity/Q43395169,Katherine Gray,Haddington,-2.78332,55.95612,Female,Capital Punishment
http://www.wikidata.org/entity/Q43394897,Christiane Roiss,Tain,-4.0567,57.8118,Female,Capital Punishment
http://www.wikidata.org/entity/Q43394941,Agnes Pogavie,Gilmerton,-3.13083,55.905,Female,Capital Punishment
http://www.wikidata.org/entity/Q43390983,Margaret Bryson,Gilmerton,-3.13083,55.905,Female,Capital Punishment
http://www.wikidata.org/entity/Q43394985,Cristine Bell,Gilmerton,-3.13083,55.905,Female,Capital Punishment
http://www.wikidata.org/entity/Q43395321,Christiane Grahame,Glasgow,-4.27,55.87,Female,Capital Punishment
