Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Occupation,Social Classification
https://www.wikidata.org/wiki/Q43392422,Elspeth Wood,County of Renfrewshire,-4.232207,55.5238197,Female,,Middling
https://www.wikidata.org/wiki/Q43392649,Janet Melros,County of Elgin,-3.314408,57.648423,Female,Midwife,Working Poor
