Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Social Classification
http://www.wikidata.org/entity/Q43393071,Elspeth Yester,"Spott, East Lothian",-2.52417,55.9722,Female,Middling
http://www.wikidata.org/entity/Q43393080,Margret Moffatt,"Spott, East Lothian",-2.52417,55.9722,Female,Middling
http://www.wikidata.org/entity/Q43393232,Jonet Staig,Collessie,-3.15,56.3,Female,Middling
http://www.wikidata.org/entity/Q43393350,Barbara Innes,Elgin,-3.315277777,57.64638889,Female,Middling
http://www.wikidata.org/entity/Q43393535,Margaret Handesyd,Liberton,-3.16188,55.9144,Female,Middling
http://www.wikidata.org/entity/Q43393544,Susanna Baillie,Liberton,-3.16188,55.9144,Female,Middling
http://www.wikidata.org/entity/Q43391887,Mary Grougie,Govan,-4.3083,55.8615,Female,Middling
http://www.wikidata.org/entity/Q43395736,Jeane Gibeson,Niddry,-3.458308,55.949861,Female,Middling
http://www.wikidata.org/entity/Q43395804,Marjorie Millar,Assynt,-5.0505,58.215,Female,Middling
http://www.wikidata.org/entity/Q43391875,Bessie Miller,Boghall,-4.542073,55.897733,Female,Middling
http://www.wikidata.org/entity/Q43391995,Susanna Shang,Ayr,-4.627777777,55.46388889,Female,Middling
http://www.wikidata.org/entity/Q43395694,Marion Mathie,Stirling,-3.9369,56.1166,Female,Middling
http://www.wikidata.org/entity/Q43389989,Helen Gow,Tain,-4.0567,57.8118,Female,Middling
http://www.wikidata.org/entity/Q43390284,Jonet Burrell,Kinross,-3.42,56.2,Female,Middling
http://www.wikidata.org/entity/Q43393114,Issobell Syrie,Forfar,-2.89,56.64305556,Female,Middling
http://www.wikidata.org/entity/Q43393124,Helen Brikinrig,Crichton,-2.98249,55.8471,Female,Middling
http://www.wikidata.org/entity/Q43393230,Margret Wishart,Collessie,-3.15,56.3,Female,Middling
http://www.wikidata.org/entity/Q43393235,Alison Melivill,Collessie,-3.15,56.3,Female,Middling
http://www.wikidata.org/entity/Q43393237,Jonat Mar,Collessie,-3.15,56.3,Female,Middling
